"Month","DayOfWeek","Mean"
4,1,21.6332516309061
4,2,19.4917130844495
4,3,20.9610481409588
4,4,22.2759273083696
4,5,24.7514292375718
4,6,20.4819500255365
4,7,22.4034859338826
