"Month","DayOfWeek","Mean"
6,1,26.3286385949844
6,2,25.8212732263672
6,3,27.0959676401722
6,4,27.2316149428995
6,5,27.5495145434199
6,6,23.3054286508292
6,7,24.1551609622779
