"Month","DayOfWeek","Mean"
12,1,24.7570864563738
12,2,24.2228607293654
12,3,26.2122940584809
12,4,27.9802952516368
12,5,28.6757402548726
12,6,25.4128289142129
12,7,25.7484021745383
