"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"9E",88359,4097,0.0463676592084564
"AA",204519,10784,0.0527285973430341
"AQ",7800,42,0.00538461538461538
"AS",49885,804,0.0161170692592964
"B6",67478,902,0.0133673197190195
"CO",102702,1084,0.0105548090592199
"DL",151409,3051,0.0201507175927455
"EV",92383,2346,0.0253942824978622
"F9",30680,98,0.00319426336375489
"FL",86856,903,0.0103965183752418
"HA",18385,112,0.00609192276312211
"MQ",167860,8960,0.0533778148457048
"NW",122799,1407,0.0114577480272641
"OH",71934,2618,0.0363944727110963
"OO",195184,6773,0.0347005902123125
"UA",154036,4616,0.0299670206964606
"US",153539,2390,0.0155660776740763
"WN",398966,4380,0.0109783791099993
"XE",138757,3925,0.0282868612033987
"YV",85686,5150,0.0601031673785683
