"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",694757,6611,0.00951555723799832
"AS",89822,699,0.00778205784774331
"CO",457031,4923,0.0107716981999033
"DL",753983,4469,0.0059271893398127
"EA",389292,6606,0.0169692672852255
"HP",180871,973,0.00537952463357863
"NW",431440,6174,0.0143102169478954
"PA (1)",72264,863,0.0119423225949297
"PI",470957,4314,0.00916007193862709
"PS",41911,272,0.00648994297439813
"TW",275819,2466,0.00894064585833463
"UA",587144,5766,0.00982041884103389
"US",494383,4562,0.0092276635725743
"WN",262422,1465,0.00558261121399883
