"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",165121,1956,0.0118458584916516
"AS",21406,215,0.0100439129216108
"CO",123002,2508,0.0203899123591486
"DL",185813,2057,0.0110702695720967
"EA",108776,2454,0.0225601235566669
"HP",45399,536,0.0118064274543492
"NW",108273,1587,0.0146573938100912
"PA (1)",16785,199,0.0118558236520703
"PI",116482,1229,0.0105509864185024
"PS",41706,879,0.0210761041576752
"TW",69650,1243,0.0178463747307968
"UA",152624,3436,0.0225128420169829
"US",94814,755,0.00796295905667939
"WN",61975,631,0.0101815248083905
