"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",673569,9752,0.0144781009814882
"AS",158100,2630,0.0166350411132195
"B6",111050,888,0.0079963980189104
"CO",296661,2739,0.00923276062576476
"DH",136492,2877,0.0210781584268675
"DL",658302,17731,0.0269344465002385
"EV",304647,13900,0.0456265776456029
"F9",53255,175,0.00328607642474885
"FL",195392,2448,0.0125286603340976
"HA",48183,69,0.00143204034618019
"HP",197853,2487,0.0125699382875165
"MQ",532032,16746,0.0314755503428365
"NW",480832,6937,0.0144270764009051
"OH",381337,11370,0.0298161468727136
"OO",517454,9639,0.0186277427558778
"TZ",44109,508,0.0115169239837675
"UA",485918,6296,0.0129569186570574
"US",425609,8426,0.0197975136803968
"WN",1036034,8759,0.00845435574508173
"XE",403767,9353,0.0231643497363579
