"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",752241,12080,0.0160586833209038
"AS",161594,3483,0.0215540180947312
"B6",67184,308,0.00458442486306263
"CO",302742,2339,0.00772605056450707
"DH",291600,11012,0.037764060356653
"DL",660617,6943,0.0105098718319389
"EV",273712,6505,0.0237658560823055
"FL",144700,1614,0.0111541119557706
"HA",7831,37,0.00472481164602222
"HP",189519,1983,0.0104633308533709
"MQ",429098,13673,0.0318645157982559
"NW",499160,6114,0.0122485776103854
"OO",396801,6501,0.0163835272592559
"TZ",69176,855,0.0123597779576732
"UA",543957,5919,0.0108813748145534
"US",411956,6358,0.0154336870927963
"WN",958566,9718,0.0101380603943808
"XE",328086,6027,0.018370183427516
