"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",293269,9713055,33.1199513075027
"AS",71512,2002765,28.005998993176
"B6",34939,809483,23.1684650390681
"CO",133191,3747978,28.1398743158322
"DH",97598,3959873,40.573300682391
"DL",342552,8384465,24.4764736448773
"EV",111600,3304638,29.6114516129032
"FL",66893,2265123,33.8618839041454
"HA",10115,168957,16.7036085022244
"HP",97695,2288685,23.4268386304314
"MQ",211377,6708027,31.734895471125
"NW",233550,5307316,22.7245386426889
"OH",143576,4059356,28.2732211511673
"OO",179471,3961809,22.0749257540215
"TZ",30823,901558,29.2495214612465
"UA",221798,6719709,30.2965265692206
"US",161487,4513727,27.9510239214302
"WN",411212,9822059,23.8856332013657
"XE",165784,4715911,28.446116633692
