"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",272998,7591306,27.8071854006256
"AS",61696,1470769,23.8389684906639
"B6",24404,575268,23.5726930011474
"CO",121368,3053377,25.1580070529299
"DH",109379,3883074,35.5010925314731
"DL",281981,5917398,20.9850947404258
"EV",117240,3300036,28.1476970317298
"FL",67023,1892717,28.2398131984543
"HA",2370,33696,14.2177215189873
"HP",77319,1737398,22.4705182426053
"MQ",156709,4507615,28.7642381739402
"NW",190203,4159695,21.8697654611126
"OO",125723,2537143,20.180420448128
"TZ",26997,804700,29.8070155943253
"UA",193198,5209124,26.9626186606487
"US",168196,4012766,23.8576779471569
"WN",307474,6402032,20.8213767668161
"XE",137063,3408744,24.8699065393286
