"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",291822,9055856,31.032122321141
"AS",81540,2614953,32.0695732155997
"B6",57337,1772912,30.9209062211138
"CO",140013,4050812,28.9316849149722
"DH",54817,1653591,30.1656602878669
"DL",294988,8143431,27.6059738023242
"EV",133545,4520435,33.8495263768767
"F9",23017,473209,20.5591084850328
"FL",95538,3711826,38.8518285917645
"HA",9992,144819,14.4934947958367
"HP",82647,1846830,22.3460016697521
"MQ",225698,6541040,28.9813822009943
"NW",235093,6385533,27.1617317402049
"OH",139040,3649982,26.2513089758343
"OO",198235,4604206,23.225999445103
"TZ",16815,504406,29.9973832887303
"UA",205345,6524761,31.7746280649638
"US",182581,5196692,28.4623920342204
"WN",413039,9853724,23.8566430772881
"XE",182120,5504675,30.2255381067428
