"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",283476,9447740,33.3281829855085
"AQ",10675,150090,14.0599531615925
"AS",77465,2227445,28.754211579423
"B6",73500,2650132,36.0562176870748
"CO",154532,5052168,32.6933450676882
"DL",227362,6219275,27.3540653231411
"EV",144822,5111993,35.2984560356852
"F9",41896,818615,19.5392161542868
"FL",107232,3564019,33.236524544912
"HA",12779,208683,16.330151029032
"MQ",248671,8348233,33.5713975493725
"NW",212232,5498362,25.9073184062724
"OH",126515,3828135,30.2583488123938
"OO",244739,6872001,28.0788962936026
"TZ",10487,402635,38.3937255649852
"UA",223589,7886799,35.273644946755
"US",234091,5946133,25.4009466404091
"WN",438407,11015880,25.1270622959944
"XE",198574,7005696,35.2800265895837
"YV",126322,5106735,40.4263311220532
