"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",83421,1378676,16.5267258843696
"AS",15316,293016,19.1313658918778
"CO",62300,1862374,29.8936436597111
"DL",142189,2362916,16.6181350174767
"EA",60018,1234148,20.5629644440001
"HP",32585,475746,14.6001534448366
"NW",74688,1301440,17.4250214224507
"PA (1)",9264,172156,18.5833333333333
"PI",80570,1233900,15.314633238178
"PS",31140,734780,23.5960179833012
"TW",42510,753889,17.7343919077864
"UA",81104,1782522,21.978225488262
"US",63959,1029952,16.1033161869323
"WN",29129,534591,18.3525352741254
