"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",718044,332643,0.463262696993499
"AS",97577,46674,0.47832993430829
"CO",419702,201206,0.479402051932085
"DL",867414,493084,0.568452895618471
"HP",217218,113390,0.522010146488781
"ML (1)",69119,29531,0.427248658111373
"NW",456370,179654,0.393658654162193
"PA (1)",63647,23959,0.376435652898016
"TW",228003,112948,0.495379446761665
"UA",619565,309157,0.498990420698393
"US",898589,445573,0.495858507059401
"WN",365587,163082,0.446082601405411
