"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",686320,324748,0.47317286397016
"AS",88841,55606,0.625904706160444
"CO",450326,213693,0.474529563027673
"DL",749141,433868,0.579153991037735
"EA",379692,190706,0.502264993731761
"HP",179666,98435,0.547877728674318
"NW",423876,250172,0.590200907812662
"PA (1)",71091,41361,0.581803603831709
"PI",465194,300882,0.646788221688156
"PS",41581,16773,0.403381352059835
"TW",272372,158646,0.582460752206541
"UA",579682,299834,0.517238761941892
"US",488784,299148,0.61202494353334
"WN",260931,105318,0.403623946560585
