"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",698548,12402,0.0177539696627862
"AS",166992,3670,0.0219771006994347
"B6",89834,511,0.00568826947480909
"CO",299329,1898,0.00634084903233566
"DH",264955,8287,0.0312770093034666
"DL",687638,10717,0.0155852352545962
"EV",278861,7542,0.0270457324616924
"FL",162558,2013,0.0123832724319935
"HA",48077,162,0.00336959460864863
"HP",195939,3108,0.0158620795247501
"MQ",483088,17787,0.0368193786639287
"NW",507286,6010,0.0118473602662009
"OH",373346,13616,0.0364701911899418
"OO",463448,9784,0.0211113220900727
"TZ",75533,717,0.00949253968464115
"UA",555812,6548,0.0117809619079833
"US",419919,6779,0.0161435895970413
"WN",990404,10103,0.0102008877185472
"XE",367703,6103,0.0165976345039339
