"UniqueCarrier","AllFlights","CancelledFlights","Fraction"
"AA",725191,4951,0.00682716691188942
"AS",98952,858,0.0086708707252001
"CO",424734,3600,0.00847589314724039
"DL",874791,5990,0.00684734982412942
"HP",219896,2204,0.0100229199257831
"ML (1)",70622,1342,0.0190025771006202
"NW",460230,2741,0.00595571779327727
"PA (1)",64729,825,0.0127454463996045
"TW",231769,2871,0.0123873339402595
"UA",630093,8732,0.0138582717154452
"US",907184,6932,0.00764122824035697
"WN",368734,2459,0.00666876393280793
