"UniqueCarrier","Sum","Fraction"
"9E",88359,0.036982408881236
"AA",204519,0.0856008474742981
"AQ",7800,0.00326466788073247
"AS",49885,0.020879225285941
"B6",67478,0.0282427255456495
"CO",102702,0.042985630857306
"DL",151409,0.0633718075838235
"EV",92383,0.0386666426699626
"F9",30680,0.0128410269975477
"FL",86856,0.0363533324934487
"HA",18385,0.00769498961375212
"MQ",167860,0.0702573269820196
"NW",122799,0.0513971732161624
"OH",71934,0.030107771709309
"OO",195184,0.081693709696524
"UA",154036,0.0644713309841676
"US",153539,0.064263313043562
"WN",398966,0.166986087910809
"XE",138757,0.0580763488624097
"YV",85686,0.0358636323113388
