"UniqueCarrier","Sum","Fraction"
"AA",673569,0.0943295209531529
"AS",158100,0.0221410089577957
"B6",111050,0.0155519231167818
"CO",296661,0.0415456917041659
"DH",136492,0.0191149310225645
"DL",658302,0.092191464129885
"EV",304647,0.0426640857429828
"F9",53255,0.00745806092376603
"FL",195392,0.0273635422029198
"HA",48183,0.00674775606966141
"HP",197853,0.0277081913050395
"MQ",532032,0.0745080662734595
"NW",480832,0.0673377964528451
"OH",381337,0.0534040855973367
"OO",517454,0.0724664999952385
"TZ",44109,0.0061772154593258
"UA",485918,0.0680500619276038
"US",425609,0.0596041282828492
"WN",1036034,0.145090689908798
"XE",403767,0.0565452799738285
