"UniqueCarrier","Sum","Fraction"
"AA",723252,0.14346822185194
"AS",89122,0.0176787272871539
"CO",410322,0.0813937157819567
"DL",783320,0.155383638816155
"EA",169704,0.0336634134729826
"HP",195588,0.0387979052606522
"NW",451752,0.0896119971435373
"PA (1)",79333,0.0157369277156233
"PI",286518,0.056835277314925
"TW",276471,0.0548422994525113
"UA",574674,0.113995477267317
"US",712342,0.141304054590177
"WN",288802,0.0572883440450686
