"","Group","Mean"
"1","[0,200]",62.1469144962058
"2","(200,400]",96.1517706576729
"3","(400,600]",11.1029825314447
"4","(600,800]",12.4191447876055
"5","(800,1e+03]",16.8669103194323
"6","(1e+03,1.2e+03]",19.155904037029
"7","(1.2e+03,1.4e+03]",20.4113606571969
"8","(1.4e+03,1.6e+03]",23.0524796465093
"9","(1.6e+03,1.8e+03]",24.9306674769044
"10","(1.8e+03,2e+03]",28.9496979663888
"11","(2e+03,2.2e+03]",34.2595291767985
"12","(2.2e+03,2.4e+03]",49.8098447772595
