"","DayOfWeek","Mean"
"1",1,23.4132035141023
"2",2,22.4956729022405
"3",3,23.4061664457725
"4",4,24.817814128853
"5",5,25.4534392473151
"6",6,21.7771014023867
"7",7,23.582025183754
