"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",631769,283476,0.448701978096424
"AQ",34627,10675,0.30828544199613
"AS",156483,77465,0.495037799633187
"B6",154265,73500,0.476452857096555
"CO",306682,154532,0.5038835014771
"DL",497279,227362,0.457212148512203
"EV",265839,144822,0.544773340254816
"F9",89196,41896,0.469707161756133
"FL",235211,107232,0.455897045631369
"HA",51913,12779,0.24616184770674
"MQ",528801,248671,0.470254405721623
"NW",427167,212232,0.496836132004579
"OH",270595,126515,0.467543746188954
"OO",534625,244739,0.457776946457798
"TZ",19365,10487,0.541544022721405
"UA",488682,223589,0.457534756753881
"US",498314,234091,0.469766051124391
"WN",1088617,438407,0.40271922999549
"XE",429798,198574,0.462017040563241
"YV",294574,126322,0.428829428259113
