"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",738567,272998,0.369632003596153
"AS",157602,61696,0.391467113361506
"B6",66732,24404,0.365701612419829
"CO",299843,121368,0.404771830591343
"DH",280010,109379,0.390625334809471
"DL",652602,281981,0.432087244599312
"EV",266760,117240,0.439496176338282
"FL",142817,67023,0.469292871296834
"HA",7792,2370,0.304158110882957
"HP",187266,77319,0.412883278331358
"MQ",414902,156709,0.377701240292888
"NW",492274,190203,0.386376286377099
"OO",389762,125723,0.322563513118262
"TZ",68265,26997,0.395473522302791
"UA",537178,193198,0.359653597131677
"US",404988,168196,0.415311070945312
"WN",947231,307474,0.324602974353669
"XE",321098,137063,0.426857221159895
