"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",350136,7157349,20.4416255397903
"AS",52432,831583,15.8602189502594
"CO",193977,4226541,21.7888770318131
"DL",498182,7969408,15.9969810229996
"EA",69304,1520734,21.9429470160452
"HP",117238,1504059,12.8291083095925
"NW",230338,4309353,18.7088235549497
"PA (1)",43627,1035986,23.7464414238889
"PI",202639,4270713,21.0754741189998
"TW",148335,2993256,20.1790272019416
"UA",330316,8062154,24.4073977645648
"US",453025,9426764,20.8084851829369
"WN",143185,2559330,17.8742885078744
