"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",389305,7473551,19.1971616085075
"AS",54517,701466,12.8669222444375
"CO",196324,4344997,22.1317668751655
"DL",567120,9419587,16.609512977853
"HP",91320,1294878,14.1795663600526
"NW",187526,3151357,16.8049070528887
"TW",105785,1949558,18.4294370657466
"UA",323203,6799441,21.0376791057014
"US",380857,6453026,16.943435462654
"WN",174144,2591706,14.8825454796031
