"UniqueCarrier","DelayMean"
"AA",20.392803170627
"AS",13.1611615824457
"CO",22.4819391313179
"DL",15.930772130503
"HP",15.6841940532081
"NW",18.3379193588136
"TW",20.1842363244232
"UA",19.3577359200344
"US",19.0769700270433
"WN",15.4760097522309
