"UniqueCarrier","DelayedFlights","DelayTime","Mean"
"AA",324748,5560329,17.1219807358321
"AS",55606,850854,15.301478257742
"CO",213693,4931854,23.0791556110869
"DL",433868,6358525,14.6554366765929
"EA",190706,4244289,22.2556657892253
"HP",98435,1132793,11.5080306801443
"NW",250172,4378417,17.5016268807061
"PA (1)",41361,816068,19.7303740238389
"PI",300882,4821715,16.0252690423488
"PS",16773,235871,14.0625409884934
"TW",158646,2949798,18.5935857191483
"UA",299834,6312261,21.0525190605468
"US",299148,5053411,16.892678540388
"WN",105318,1643760,15.6075884464194
