"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",684502,293269,0.428441407037525
"AS",162825,71512,0.439195455243359
"B6",89137,34939,0.39196966467348
"CO",296691,133191,0.448921605306531
"DH",256191,97598,0.380957957149158
"DL",675724,342552,0.506940703600879
"EV",270844,111600,0.412045310215475
"FL",160238,66893,0.417460277836718
"HA",47895,10115,0.211191147301388
"HP",192541,97695,0.507398424231722
"MQ",464457,211377,0.455105639488693
"NW",500275,233550,0.466843236220079
"OH",359023,143576,0.399907526815831
"OO",452866,179471,0.396300450906008
"TZ",74791,30823,0.412121779358479
"UA",548264,221798,0.404545985145842
"US",412376,161487,0.391601354104022
"WN",978520,411212,0.42023872787475
"XE",360569,165784,0.459784396329135
