"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",162609,83421,0.513015884729628
"AS",21141,15316,0.724469041199565
"CO",119978,62300,0.51926186467519
"DL",183639,142189,0.774285418674682
"EA",105564,60018,0.568546095259748
"HP",44781,32585,0.727652352560238
"NW",106088,74688,0.70401930472815
"PA (1)",16545,9264,0.559927470534905
"PI",115110,80570,0.699939188602207
"PS",40712,31140,0.764885046178031
"TW",68171,42510,0.623578941192002
"UA",148745,81104,0.54525530269925
"US",93899,63959,0.681146764076295
"WN",61344,29129,0.474846765779864
