"UniqueCarrier","AllFlights","DelayedFlights","Fraction"
"AA",710772,350136,0.492613665141564
"AS",87608,52432,0.598484156698018
"CO",404989,193977,0.478968564578297
"DL",778111,498182,0.640245414857263
"EA",151100,69304,0.458663136995367
"HP",194148,117238,0.60385891175804
"NW",445437,230338,0.517105673754089
"PA (1)",78065,43627,0.558854800486774
"PI",281905,202639,0.718820169915397
"TW",272297,148335,0.544754440922963
"UA",563632,330316,0.586049053282993
"US",697933,453025,0.649095256994583
"WN",286199,143185,0.500298743182191
